weight_decay,hidden_features,values1,values2
0.0,20,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 3.0, 11.0, 4.0, 6.0, 10.0, 9.0, 13.0, 13.0, 13.0, 11.0, 11.0, 13.0, 14.0, 9.0, 14.0, 18.0, 22.0, 14.0, 18.0, 20.0, 11.0, 19.0, 18.0, 20.0, 16.0, 12.0, 19.0, 17.0, 15.0, 17.0, 16.0, 14.0, 30.0, 15.0, 18.0, 19.0, 15.0, 11.0, 14.0, 18.0, 12.0, 14.0, 17.0, 14.0, 13.0, 16.0, 14.0, 15.0, 13.0, 12.0, 17.0, 13.0, 13.0, 14.0, 16.0, 16.0, 17.0, 19.0, 25.0, 20.0, 14.0, 19.0, 22.0, 12.0, 14.0, 18.0, 9.0, 15.0, 14.0, 21.0, 14.0, 13.0, 13.0, 17.0, 11.0, 13.0, 15.0, 7.0, 5.0, 14.0, 2.0, 5.0, 6.0, 2.0, 1.0, 3.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 1.0, 1.0, 7.0, 8.0, 4.0, 5.0, 7.0, 14.0, 13.0, 19.0, 17.0, 9.0, 11.0, 11.0, 14.0, 24.0, 13.0, 17.0, 20.0, 26.0, 19.0, 14.0, 13.0, 21.0, 21.0, 15.0, 16.0, 16.0, 17.0, 14.0, 15.0, 20.0, 20.0, 15.0, 11.0, 13.0, 10.0, 15.0, 13.0, 14.0, 21.0, 14.0, 21.0, 14.0, 19.0, 16.0, 22.0, 17.0, 15.0, 12.0, 14.0, 15.0, 17.0, 12.0, 15.0, 20.0, 23.0, 16.0, 12.0, 14.0, 12.0, 17.0, 15.0, 22.0, 13.0, 20.0, 13.0, 16.0, 15.0, 15.0, 16.0, 12.0, 14.0, 12.0, 11.0, 13.0, 15.0, 10.0, 10.0, 7.0, 8.0, 6.0, 4.0, 4.0, 6.0, 3.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]"
0.0,60,"[0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 4.0, 3.0, 6.0, 8.0, 10.0, 19.0, 30.0, 31.0, 44.0, 59.0, 64.0, 91.0, 113.0, 113.0, 133.0, 136.0, 139.0, 153.0, 158.0, 148.0, 168.0, 170.0, 150.0, 159.0, 133.0, 161.0, 170.0, 165.0, 166.0, 167.0, 187.0, 173.0, 168.0, 186.0, 182.0, 176.0, 160.0, 169.0, 161.0, 170.0, 157.0, 181.0, 159.0, 171.0, 165.0, 168.0, 165.0, 150.0, 160.0, 185.0, 152.0, 144.0, 138.0, 154.0, 175.0, 176.0, 154.0, 156.0, 153.0, 183.0, 178.0, 158.0, 162.0, 180.0, 170.0, 146.0, 166.0, 152.0, 158.0, 154.0, 157.0, 141.0, 116.0, 153.0, 107.0, 106.0, 87.0, 86.0, 47.0, 41.0, 21.0, 14.0, 19.0, 5.0, 9.0, 2.0, 1.0, 1.0, 1.0, 3.0, 2.0, 2.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 1.0, 11.0, 9.0, 5.0, 14.0, 18.0, 30.0, 44.0, 65.0, 82.0, 98.0, 115.0, 121.0, 149.0, 144.0, 134.0, 135.0, 167.0, 149.0, 146.0, 175.0, 166.0, 168.0, 161.0, 159.0, 171.0, 151.0, 156.0, 162.0, 167.0, 185.0, 183.0, 168.0, 166.0, 185.0, 167.0, 156.0, 155.0, 169.0, 156.0, 169.0, 168.0, 155.0, 147.0, 186.0, 180.0, 155.0, 166.0, 147.0, 171.0, 142.0, 165.0, 157.0, 175.0, 173.0, 157.0, 173.0, 171.0, 176.0, 131.0, 148.0, 164.0, 161.0, 167.0, 166.0, 167.0, 166.0, 182.0, 149.0, 146.0, 154.0, 159.0, 108.0, 108.0, 85.0, 85.0, 71.0, 51.0, 42.0, 20.0, 23.0, 17.0, 4.0, 5.0, 9.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0]"
0.0,100,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 6.0, 9.0, 13.0, 23.0, 26.0, 38.0, 62.0, 92.0, 128.0, 155.0, 211.0, 274.0, 313.0, 334.0, 343.0, 402.0, 425.0, 449.0, 439.0, 459.0, 470.0, 453.0, 497.0, 468.0, 475.0, 463.0, 519.0, 453.0, 457.0, 456.0, 483.0, 512.0, 464.0, 471.0, 485.0, 452.0, 491.0, 466.0, 482.0, 516.0, 464.0, 440.0, 451.0, 480.0, 473.0, 488.0, 480.0, 515.0, 490.0, 468.0, 471.0, 438.0, 492.0, 463.0, 466.0, 453.0, 472.0, 468.0, 498.0, 451.0, 495.0, 455.0, 447.0, 456.0, 475.0, 466.0, 425.0, 459.0, 443.0, 445.0, 385.0, 391.0, 360.0, 294.0, 241.0, 175.0, 114.0, 105.0, 58.0, 55.0, 39.0, 20.0, 18.0, 5.0, 3.0, 5.0, 1.0, 2.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 5.0, 8.0, 9.0, 8.0, 15.0, 40.0, 44.0, 49.0, 85.0, 113.0, 139.0, 213.0, 276.0, 321.0, 368.0, 411.0, 377.0, 403.0, 442.0, 431.0, 451.0, 415.0, 478.0, 472.0, 467.0, 461.0, 477.0, 475.0, 471.0, 446.0, 444.0, 443.0, 453.0, 490.0, 517.0, 493.0, 461.0, 452.0, 493.0, 456.0, 468.0, 472.0, 472.0, 491.0, 480.0, 497.0, 494.0, 437.0, 470.0, 475.0, 467.0, 467.0, 485.0, 488.0, 465.0, 488.0, 475.0, 449.0, 468.0, 487.0, 460.0, 469.0, 506.0, 469.0, 432.0, 490.0, 470.0, 473.0, 445.0, 434.0, 420.0, 399.0, 398.0, 366.0, 284.0, 263.0, 185.0, 142.0, 106.0, 76.0, 51.0, 22.0, 28.0, 17.0, 10.0, 8.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
0.0,140,"[1.0, 0.0, 0.0, 1.0, 4.0, 1.0, 1.0, 13.0, 14.0, 23.0, 20.0, 45.0, 86.0, 90.0, 145.0, 214.0, 290.0, 381.0, 486.0, 581.0, 637.0, 683.0, 759.0, 807.0, 775.0, 798.0, 836.0, 868.0, 872.0, 841.0, 877.0, 890.0, 909.0, 887.0, 882.0, 865.0, 904.0, 838.0, 899.0, 860.0, 930.0, 970.0, 896.0, 866.0, 876.0, 884.0, 870.0, 891.0, 909.0, 859.0, 944.0, 888.0, 824.0, 852.0, 906.0, 868.0, 890.0, 848.0, 867.0, 861.0, 861.0, 905.0, 895.0, 895.0, 888.0, 891.0, 862.0, 849.0, 858.0, 860.0, 922.0, 867.0, 920.0, 855.0, 870.0, 884.0, 855.0, 771.0, 840.0, 755.0, 800.0, 704.0, 686.0, 589.0, 516.0, 410.0, 287.0, 196.0, 178.0, 99.0, 86.0, 65.0, 29.0, 28.0, 15.0, 6.0, 11.0, 6.0, 2.0, 2.0]","[1.0, 1.0, 0.0, 4.0, 2.0, 5.0, 9.0, 7.0, 10.0, 21.0, 31.0, 48.0, 61.0, 103.0, 151.0, 192.0, 304.0, 401.0, 484.0, 542.0, 668.0, 705.0, 736.0, 740.0, 830.0, 864.0, 824.0, 828.0, 838.0, 898.0, 876.0, 895.0, 894.0, 906.0, 870.0, 871.0, 898.0, 881.0, 873.0, 892.0, 941.0, 860.0, 833.0, 878.0, 949.0, 830.0, 951.0, 836.0, 916.0, 861.0, 871.0, 845.0, 844.0, 909.0, 875.0, 825.0, 884.0, 878.0, 854.0, 931.0, 833.0, 874.0, 920.0, 821.0, 855.0, 890.0, 893.0, 907.0, 873.0, 875.0, 881.0, 905.0, 901.0, 900.0, 856.0, 852.0, 850.0, 884.0, 811.0, 824.0, 771.0, 672.0, 700.0, 586.0, 509.0, 373.0, 331.0, 258.0, 147.0, 120.0, 57.0, 46.0, 26.0, 22.0, 20.0, 8.0, 5.0, 5.0, 2.0, 2.0]"
0.0,180,"[0.0, 2.0, 1.0, 9.0, 8.0, 9.0, 18.0, 23.0, 45.0, 67.0, 103.0, 134.0, 191.0, 265.0, 403.0, 529.0, 710.0, 825.0, 979.0, 1104.0, 1283.0, 1211.0, 1339.0, 1400.0, 1357.0, 1399.0, 1407.0, 1440.0, 1445.0, 1398.0, 1499.0, 1466.0, 1462.0, 1403.0, 1402.0, 1485.0, 1388.0, 1404.0, 1441.0, 1405.0, 1515.0, 1459.0, 1509.0, 1344.0, 1535.0, 1454.0, 1370.0, 1481.0, 1433.0, 1415.0, 1459.0, 1452.0, 1529.0, 1450.0, 1502.0, 1440.0, 1412.0, 1446.0, 1488.0, 1479.0, 1433.0, 1454.0, 1507.0, 1396.0, 1476.0, 1466.0, 1470.0, 1418.0, 1405.0, 1428.0, 1474.0, 1454.0, 1462.0, 1436.0, 1454.0, 1433.0, 1456.0, 1317.0, 1362.0, 1251.0, 1154.0, 1081.0, 925.0, 742.0, 579.0, 460.0, 358.0, 240.0, 166.0, 106.0, 64.0, 48.0, 31.0, 25.0, 15.0, 12.0, 5.0, 4.0, 1.0, 1.0]","[2.0, 1.0, 0.0, 5.0, 8.0, 9.0, 15.0, 19.0, 40.0, 66.0, 86.0, 136.0, 198.0, 307.0, 422.0, 561.0, 741.0, 815.0, 984.0, 1160.0, 1180.0, 1285.0, 1329.0, 1392.0, 1350.0, 1407.0, 1484.0, 1415.0, 1426.0, 1444.0, 1414.0, 1492.0, 1391.0, 1394.0, 1469.0, 1488.0, 1464.0, 1442.0, 1403.0, 1414.0, 1465.0, 1450.0, 1469.0, 1421.0, 1463.0, 1418.0, 1495.0, 1447.0, 1483.0, 1466.0, 1511.0, 1453.0, 1434.0, 1530.0, 1488.0, 1431.0, 1491.0, 1546.0, 1382.0, 1474.0, 1400.0, 1475.0, 1408.0, 1439.0, 1383.0, 1455.0, 1394.0, 1470.0, 1450.0, 1469.0, 1456.0, 1483.0, 1464.0, 1413.0, 1491.0, 1475.0, 1376.0, 1362.0, 1293.0, 1203.0, 1143.0, 1024.0, 914.0, 787.0, 629.0, 431.0, 314.0, 217.0, 148.0, 107.0, 61.0, 33.0, 23.0, 16.0, 3.0, 5.0, 5.0, 2.0, 3.0, 1.0]"
0.0,220,"[0.0, 0.0, 3.0, 3.0, 2.0, 6.0, 16.0, 14.0, 27.0, 61.0, 73.0, 123.0, 211.0, 317.0, 447.0, 613.0, 853.0, 1160.0, 1414.0, 1643.0, 1876.0, 1961.0, 2174.0, 2252.0, 2159.0, 2265.0, 2295.0, 2290.0, 2348.0, 2344.0, 2328.0, 2362.0, 2259.0, 2369.0, 2302.0, 2337.0, 2277.0, 2329.0, 2273.0, 2327.0, 2336.0, 2260.0, 2371.0, 2297.0, 2335.0, 2461.0, 2291.0, 2377.0, 2420.0, 2305.0, 2327.0, 2307.0, 2381.0, 2304.0, 2292.0, 2408.0, 2387.0, 2320.0, 2368.0, 2257.0, 2355.0, 2332.0, 2338.0, 2326.0, 2345.0, 2374.0, 2375.0, 2302.0, 2381.0, 2285.0, 2409.0, 2192.0, 2260.0, 2192.0, 2183.0, 2136.0, 1951.0, 1727.0, 1523.0, 1257.0, 996.0, 668.0, 490.0, 360.0, 190.0, 128.0, 98.0, 43.0, 27.0, 16.0, 10.0, 8.0, 2.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 2.0, 4.0, 10.0, 16.0, 32.0, 47.0, 84.0, 131.0, 202.0, 305.0, 470.0, 648.0, 856.0, 1139.0, 1450.0, 1657.0, 1827.0, 1983.0, 2108.0, 2269.0, 2195.0, 2268.0, 2297.0, 2287.0, 2219.0, 2299.0, 2362.0, 2311.0, 2364.0, 2326.0, 2317.0, 2331.0, 2344.0, 2330.0, 2348.0, 2342.0, 2373.0, 2281.0, 2274.0, 2365.0, 2368.0, 2371.0, 2318.0, 2340.0, 2380.0, 2362.0, 2401.0, 2306.0, 2351.0, 2357.0, 2244.0, 2344.0, 2388.0, 2275.0, 2301.0, 2313.0, 2340.0, 2334.0, 2335.0, 2371.0, 2423.0, 2317.0, 2413.0, 2286.0, 2233.0, 2391.0, 2338.0, 2285.0, 2198.0, 2243.0, 2169.0, 2052.0, 1941.0, 1848.0, 1513.0, 1268.0, 952.0, 693.0, 489.0, 340.0, 191.0, 146.0, 82.0, 50.0, 22.0, 14.0, 12.0, 5.0, 5.0, 4.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
0.2,20,"[1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 3.0, 0.0, 8.0, 0.0, 9.0, 7.0, 6.0, 8.0, 5.0, 5.0, 6.0, 5.0, 9.0, 12.0, 14.0, 10.0, 14.0, 8.0, 17.0, 14.0, 19.0, 13.0, 20.0, 31.0, 34.0, 33.0, 41.0, 54.0, 50.0, 70.0, 67.0, 76.0, 52.0, 42.0, 30.0, 34.0, 32.0, 26.0, 25.0, 22.0, 20.0, 21.0, 15.0, 5.0, 13.0, 14.0, 13.0, 18.0, 14.0, 11.0, 8.0, 6.0, 3.0, 13.0, 11.0, 10.0, 6.0, 14.0, 4.0, 4.0, 8.0, 3.0, 2.0, 6.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 3.0, 1.0, 0.0, 2.0, 9.0, 6.0, 2.0, 7.0, 10.0, 10.0, 10.0, 10.0, 6.0, 11.0, 15.0, 12.0, 7.0, 15.0, 11.0, 16.0, 11.0, 15.0, 17.0, 25.0, 26.0, 22.0, 38.0, 43.0, 34.0, 47.0, 72.0, 78.0, 59.0, 62.0, 52.0, 32.0, 39.0, 27.0, 31.0, 28.0, 17.0, 15.0, 21.0, 16.0, 10.0, 12.0, 12.0, 11.0, 7.0, 8.0, 13.0, 12.0, 7.0, 11.0, 7.0, 13.0, 13.0, 11.0, 8.0, 7.0, 8.0, 4.0, 2.0, 6.0, 3.0, 3.0, 3.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.2,60,"[2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 3.0, 3.0, 3.0, 1.0, 6.0, 4.0, 9.0, 4.0, 9.0, 10.0, 9.0, 18.0, 15.0, 18.0, 28.0, 37.0, 46.0, 59.0, 69.0, 86.0, 115.0, 186.0, 225.0, 279.0, 376.0, 595.0, 820.0, 834.0, 959.0, 1293.0, 933.0, 767.0, 560.0, 452.0, 357.0, 274.0, 213.0, 183.0, 179.0, 127.0, 106.0, 77.0, 70.0, 54.0, 48.0, 36.0, 32.0, 29.0, 20.0, 19.0, 23.0, 19.0, 12.0, 7.0, 15.0, 2.0, 6.0, 1.0, 5.0, 7.0, 5.0, 7.0, 3.0, 6.0, 2.0, 3.0, 1.0, 2.0, 2.0, 2.0, 3.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0, 3.0, 0.0, 2.0, 4.0, 1.0, 3.0, 6.0, 5.0, 9.0, 6.0, 9.0, 13.0, 18.0, 21.0, 31.0, 35.0, 35.0, 41.0, 72.0, 85.0, 117.0, 171.0, 236.0, 248.0, 416.0, 657.0, 841.0, 904.0, 973.0, 1231.0, 899.0, 757.0, 572.0, 481.0, 371.0, 248.0, 197.0, 182.0, 143.0, 121.0, 102.0, 89.0, 64.0, 48.0, 48.0, 33.0, 36.0, 45.0, 29.0, 14.0, 19.0, 13.0, 8.0, 10.0, 7.0, 15.0, 7.0, 8.0, 3.0, 1.0, 2.0, 7.0, 5.0, 5.0, 2.0, 0.0, 1.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
0.2,100,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 3.0, 2.0, 1.0, 7.0, 5.0, 5.0, 6.0, 8.0, 4.0, 9.0, 21.0, 14.0, 19.0, 19.0, 17.0, 28.0, 40.0, 48.0, 85.0, 89.0, 124.0, 113.0, 175.0, 227.0, 307.0, 406.0, 597.0, 894.0, 1859.0, 3679.0, 5964.0, 6917.0, 2658.0, 1449.0, 1033.0, 701.0, 497.0, 395.0, 269.0, 234.0, 184.0, 155.0, 125.0, 98.0, 76.0, 62.0, 49.0, 59.0, 41.0, 40.0, 23.0, 27.0, 19.0, 15.0, 16.0, 12.0, 18.0, 10.0, 5.0, 6.0, 3.0, 2.0, 6.0, 1.0, 3.0, 2.0, 2.0, 3.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 0.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0, 7.0, 4.0, 9.0, 5.0, 10.0, 16.0, 14.0, 22.0, 28.0, 39.0, 40.0, 53.0, 72.0, 85.0, 119.0, 156.0, 179.0, 264.0, 367.0, 480.0, 646.0, 1033.0, 2091.0, 3630.0, 5562.0, 6155.0, 2596.0, 1683.0, 1037.0, 809.0, 588.0, 465.0, 331.0, 270.0, 225.0, 162.0, 132.0, 116.0, 97.0, 61.0, 72.0, 51.0, 38.0, 25.0, 25.0, 13.0, 16.0, 12.0, 13.0, 9.0, 7.0, 5.0, 3.0, 9.0, 4.0, 2.0, 4.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
0.2,140,"[1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 3.0, 3.0, 6.0, 2.0, 13.0, 11.0, 12.0, 10.0, 12.0, 22.0, 27.0, 24.0, 37.0, 28.0, 27.0, 47.0, 59.0, 67.0, 80.0, 113.0, 128.0, 190.0, 206.0, 296.0, 334.0, 462.0, 598.0, 835.0, 1312.0, 2327.0, 5990.0, 11003.0, 20168.0, 4863.0, 2684.0, 1649.0, 1029.0, 799.0, 598.0, 499.0, 403.0, 274.0, 236.0, 211.0, 172.0, 161.0, 115.0, 108.0, 73.0, 76.0, 50.0, 51.0, 48.0, 33.0, 30.0, 21.0, 21.0, 15.0, 12.0, 17.0, 9.0, 12.0, 9.0, 6.0, 4.0, 5.0, 5.0, 6.0, 4.0, 5.0, 4.0, 0.0, 1.0, 2.0, 1.0, 1.0, 0.0, 4.0, 2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 4.0, 1.0, 2.0, 1.0, 2.0, 2.0, 6.0, 1.0, 4.0, 4.0, 5.0, 10.0, 11.0, 19.0, 14.0, 21.0, 23.0, 30.0, 30.0, 26.0, 51.0, 55.0, 60.0, 93.0, 88.0, 126.0, 138.0, 166.0, 232.0, 250.0, 333.0, 445.0, 570.0, 775.0, 1388.0, 2741.0, 6372.0, 11290.0, 19091.0, 4713.0, 2630.0, 1748.0, 1215.0, 786.0, 606.0, 472.0, 384.0, 279.0, 234.0, 194.0, 153.0, 130.0, 109.0, 81.0, 84.0, 75.0, 66.0, 52.0, 38.0, 36.0, 36.0, 32.0, 28.0, 23.0, 18.0, 14.0, 16.0, 11.0, 9.0, 4.0, 4.0, 5.0, 4.0, 7.0, 4.0, 4.0, 3.0, 1.0, 1.0, 3.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0]"
0.2,180,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 2.0, 3.0, 2.0, 1.0, 5.0, 5.0, 11.0, 8.0, 12.0, 3.0, 15.0, 22.0, 16.0, 23.0, 21.0, 40.0, 23.0, 47.0, 35.0, 43.0, 63.0, 98.0, 95.0, 129.0, 141.0, 176.0, 240.0, 277.0, 380.0, 533.0, 747.0, 1154.0, 2114.0, 4972.0, 14830.0, 47418.0, 11934.0, 4016.0, 1965.0, 1283.0, 879.0, 697.0, 534.0, 436.0, 303.0, 283.0, 216.0, 156.0, 145.0, 115.0, 87.0, 60.0, 54.0, 45.0, 43.0, 26.0, 33.0, 17.0, 35.0, 18.0, 17.0, 13.0, 11.0, 11.0, 9.0, 7.0, 7.0, 4.0, 3.0, 3.0, 3.0, 2.0, 3.0, 3.0, 2.0, 4.0, 2.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 3.0, 1.0, 2.0, 0.0, 2.0, 3.0, 3.0, 6.0, 1.0, 6.0, 8.0, 8.0, 7.0, 13.0, 17.0, 21.0, 21.0, 30.0, 36.0, 37.0, 45.0, 50.0, 58.0, 81.0, 100.0, 93.0, 120.0, 155.0, 210.0, 286.0, 339.0, 392.0, 536.0, 718.0, 1103.0, 2056.0, 4818.0, 15490.0, 47631.0, 10487.0, 4250.0, 2179.0, 1371.0, 936.0, 699.0, 545.0, 401.0, 296.0, 267.0, 185.0, 163.0, 136.0, 111.0, 96.0, 92.0, 65.0, 67.0, 50.0, 49.0, 41.0, 30.0, 25.0, 14.0, 20.0, 15.0, 17.0, 16.0, 9.0, 8.0, 5.0, 6.0, 5.0, 7.0, 2.0, 1.0, 2.0, 5.0, 3.0, 1.0, 3.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]"
