weight_decay,hidden_features,values1,values2
0.2,220,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 2.0, 1.0, 0.0, 3.0, 0.0, 1.0, 2.0, 6.0, 4.0, 3.0, 12.0, 6.0, 9.0, 9.0, 22.0, 14.0, 17.0, 32.0, 25.0, 24.0, 38.0, 46.0, 76.0, 76.0, 89.0, 99.0, 140.0, 167.0, 200.0, 298.0, 386.0, 440.0, 702.0, 1034.0, 1485.0, 2624.0, 6014.0, 25267.0, 79606.0, 13101.0, 4478.0, 2517.0, 1646.0, 1029.0, 705.0, 569.0, 450.0, 353.0, 253.0, 218.0, 187.0, 135.0, 96.0, 90.0, 73.0, 61.0, 58.0, 37.0, 29.0, 28.0, 15.0, 14.0, 13.0, 13.0, 10.0, 12.0, 2.0, 8.0, 3.0, 1.0, 3.0, 1.0, 1.0, 2.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 3.0, 2.0, 4.0, 1.0, 4.0, 5.0, 4.0, 9.0, 5.0, 7.0, 15.0, 13.0, 19.0, 16.0, 15.0, 29.0, 26.0, 50.0, 56.0, 61.0, 66.0, 84.0, 104.0, 149.0, 150.0, 177.0, 253.0, 328.0, 427.0, 568.0, 816.0, 1345.0, 2311.0, 5287.0, 25600.0, 84035.0, 11121.0, 4520.0, 2195.0, 1282.0, 841.0, 623.0, 436.0, 404.0, 343.0, 241.0, 176.0, 172.0, 147.0, 133.0, 88.0, 61.0, 67.0, 59.0, 42.0, 32.0, 31.0, 20.0, 16.0, 17.0, 16.0, 14.0, 6.0, 11.0, 5.0, 9.0, 3.0, 3.0, 3.0, 1.0, 0.0, 4.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]"
0.4,20,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 1.0, 3.0, 4.0, 2.0, 2.0, 4.0, 0.0, 5.0, 6.0, 5.0, 7.0, 12.0, 8.0, 3.0, 3.0, 10.0, 6.0, 9.0, 11.0, 16.0, 8.0, 18.0, 16.0, 14.0, 18.0, 34.0, 39.0, 36.0, 38.0, 66.0, 97.0, 130.0, 98.0, 61.0, 49.0, 38.0, 30.0, 29.0, 25.0, 22.0, 16.0, 19.0, 14.0, 10.0, 7.0, 8.0, 12.0, 12.0, 8.0, 7.0, 8.0, 13.0, 7.0, 5.0, 9.0, 8.0, 4.0, 4.0, 7.0, 4.0, 1.0, 2.0, 3.0, 7.0, 2.0, 3.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 4.0, 5.0, 7.0, 7.0, 7.0, 4.0, 8.0, 8.0, 12.0, 11.0, 10.0, 8.0, 7.0, 11.0, 16.0, 13.0, 15.0, 11.0, 14.0, 8.0, 16.0, 26.0, 29.0, 43.0, 70.0, 74.0, 92.0, 124.0, 109.0, 74.0, 43.0, 46.0, 44.0, 23.0, 16.0, 13.0, 14.0, 17.0, 16.0, 11.0, 4.0, 11.0, 6.0, 7.0, 6.0, 12.0, 6.0, 7.0, 7.0, 12.0, 7.0, 5.0, 2.0, 4.0, 5.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.4,60,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 5.0, 4.0, 2.0, 4.0, 4.0, 4.0, 2.0, 3.0, 6.0, 11.0, 12.0, 18.0, 15.0, 32.0, 30.0, 31.0, 41.0, 45.0, 76.0, 105.0, 169.0, 204.0, 325.0, 422.0, 692.0, 886.0, 851.0, 901.0, 1440.0, 1062.0, 782.0, 523.0, 372.0, 286.0, 215.0, 203.0, 139.0, 140.0, 126.0, 91.0, 83.0, 69.0, 61.0, 31.0, 43.0, 27.0, 30.0, 23.0, 17.0, 21.0, 13.0, 15.0, 12.0, 12.0, 6.0, 5.0, 4.0, 3.0, 5.0, 8.0, 2.0, 1.0, 2.0, 5.0, 2.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 1.0, 1.0, 4.0, 2.0, 2.0, 0.0, 3.0, 3.0, 4.0, 6.0, 4.0, 8.0, 8.0, 21.0, 24.0, 33.0, 36.0, 47.0, 60.0, 91.0, 138.0, 163.0, 173.0, 259.0, 375.0, 745.0, 926.0, 824.0, 947.0, 1660.0, 1010.0, 648.0, 521.0, 344.0, 304.0, 231.0, 214.0, 160.0, 137.0, 110.0, 87.0, 71.0, 61.0, 58.0, 39.0, 34.0, 26.0, 27.0, 25.0, 13.0, 23.0, 15.0, 10.0, 12.0, 13.0, 7.0, 6.0, 5.0, 1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.4,100,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0, 2.0, 5.0, 0.0, 4.0, 2.0, 5.0, 4.0, 6.0, 11.0, 15.0, 14.0, 18.0, 21.0, 32.0, 25.0, 41.0, 39.0, 54.0, 60.0, 68.0, 93.0, 119.0, 149.0, 181.0, 259.0, 321.0, 458.0, 739.0, 1359.0, 4711.0, 3346.0, 9314.0, 2868.0, 1541.0, 937.0, 592.0, 427.0, 330.0, 254.0, 230.0, 200.0, 171.0, 142.0, 118.0, 94.0, 91.0, 66.0, 55.0, 37.0, 54.0, 42.0, 39.0, 37.0, 28.0, 25.0, 25.0, 19.0, 13.0, 16.0, 7.0, 8.0, 6.0, 6.0, 3.0, 5.0, 6.0, 2.0, 5.0, 0.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 6.0, 3.0, 6.0, 6.0, 2.0, 13.0, 2.0, 11.0, 14.0, 16.0, 17.0, 32.0, 22.0, 30.0, 41.0, 65.0, 42.0, 76.0, 99.0, 125.0, 153.0, 207.0, 285.0, 368.0, 539.0, 719.0, 1821.0, 4277.0, 3134.0, 8862.0, 2911.0, 1688.0, 1006.0, 705.0, 517.0, 385.0, 332.0, 236.0, 211.0, 162.0, 115.0, 92.0, 89.0, 88.0, 78.0, 61.0, 38.0, 43.0, 37.0, 34.0, 29.0, 27.0, 15.0, 14.0, 10.0, 9.0, 14.0, 6.0, 5.0, 7.0, 4.0, 6.0, 6.0, 4.0, 2.0, 2.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
0.4,140,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0, 3.0, 1.0, 1.0, 2.0, 1.0, 5.0, 7.0, 7.0, 8.0, 9.0, 17.0, 15.0, 19.0, 16.0, 25.0, 32.0, 36.0, 47.0, 52.0, 66.0, 66.0, 90.0, 139.0, 169.0, 211.0, 274.0, 356.0, 566.0, 808.0, 1348.0, 5622.0, 14270.0, 24358.0, 3676.0, 1955.0, 1109.0, 766.0, 493.0, 383.0, 292.0, 267.0, 199.0, 155.0, 132.0, 117.0, 84.0, 73.0, 55.0, 67.0, 54.0, 36.0, 39.0, 24.0, 27.0, 31.0, 14.0, 16.0, 19.0, 13.0, 10.0, 6.0, 6.0, 5.0, 5.0, 3.0, 2.0, 0.0, 5.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 3.0, 3.0, 2.0, 3.0, 1.0, 1.0, 4.0, 4.0, 6.0, 3.0, 4.0, 10.0, 7.0, 14.0, 13.0, 12.0, 17.0, 17.0, 23.0, 35.0, 38.0, 45.0, 51.0, 61.0, 80.0, 92.0, 139.0, 180.0, 269.0, 385.0, 549.0, 815.0, 1348.0, 4461.0, 14876.0, 25410.0, 4015.0, 1781.0, 897.0, 683.0, 440.0, 352.0, 265.0, 226.0, 181.0, 163.0, 139.0, 118.0, 81.0, 77.0, 65.0, 51.0, 56.0, 33.0, 33.0, 34.0, 21.0, 9.0, 15.0, 14.0, 19.0, 5.0, 13.0, 5.0, 1.0, 4.0, 1.0, 4.0, 2.0, 2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
0.4,180,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 3.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 2.0, 3.0, 6.0, 5.0, 2.0, 8.0, 9.0, 13.0, 16.0, 18.0, 11.0, 25.0, 37.0, 33.0, 39.0, 44.0, 63.0, 74.0, 97.0, 112.0, 142.0, 190.0, 271.0, 309.0, 420.0, 608.0, 910.0, 1528.0, 3193.0, 16311.0, 54918.0, 8885.0, 3219.0, 1305.0, 924.0, 652.0, 493.0, 383.0, 330.0, 259.0, 217.0, 187.0, 147.0, 123.0, 96.0, 95.0, 84.0, 61.0, 47.0, 36.0, 43.0, 26.0, 22.0, 24.0, 21.0, 14.0, 8.0, 10.0, 13.0, 9.0, 4.0, 0.0, 7.0, 4.0, 2.0, 3.0, 3.0, 1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 3.0, 0.0, 5.0, 1.0, 2.0, 5.0, 6.0, 7.0, 4.0, 8.0, 11.0, 5.0, 10.0, 13.0, 12.0, 19.0, 22.0, 38.0, 31.0, 30.0, 35.0, 51.0, 52.0, 84.0, 105.0, 109.0, 146.0, 188.0, 248.0, 314.0, 403.0, 609.0, 930.0, 1422.0, 3206.0, 16741.0, 54434.0, 9340.0, 2963.0, 1464.0, 943.0, 611.0, 444.0, 386.0, 295.0, 208.0, 189.0, 151.0, 133.0, 126.0, 95.0, 69.0, 65.0, 56.0, 56.0, 41.0, 37.0, 20.0, 35.0, 17.0, 24.0, 16.0, 20.0, 9.0, 9.0, 12.0, 6.0, 15.0, 3.0, 4.0, 3.0, 3.0, 2.0, 2.0, 4.0, 4.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]"
0.4,220,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 3.0, 0.0, 2.0, 0.0, 0.0, 0.0, 3.0, 1.0, 5.0, 4.0, 9.0, 5.0, 9.0, 10.0, 11.0, 8.0, 8.0, 23.0, 24.0, 30.0, 38.0, 29.0, 41.0, 57.0, 61.0, 69.0, 102.0, 134.0, 173.0, 224.0, 286.0, 422.0, 596.0, 918.0, 1472.0, 3150.0, 24817.0, 94954.0, 9061.0, 3218.0, 1449.0, 807.0, 584.0, 452.0, 364.0, 278.0, 235.0, 192.0, 144.0, 115.0, 91.0, 101.0, 70.0, 43.0, 62.0, 41.0, 40.0, 23.0, 28.0, 12.0, 10.0, 16.0, 10.0, 10.0, 7.0, 9.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 3.0, 2.0, 2.0, 5.0, 9.0, 8.0, 5.0, 6.0, 8.0, 12.0, 12.0, 11.0, 18.0, 24.0, 14.0, 30.0, 34.0, 41.0, 40.0, 71.0, 88.0, 92.0, 114.0, 158.0, 186.0, 305.0, 395.0, 600.0, 921.0, 1499.0, 3459.0, 21140.0, 98490.0, 9541.0, 2873.0, 1324.0, 869.0, 558.0, 410.0, 321.0, 280.0, 225.0, 197.0, 129.0, 120.0, 116.0, 70.0, 57.0, 51.0, 45.0, 30.0, 15.0, 22.0, 31.0, 14.0, 12.0, 17.0, 7.0, 9.0, 8.0, 8.0, 5.0, 2.0, 2.0, 1.0, 4.0, 3.0, 0.0, 2.0, 1.0, 1.0, 4.0, 2.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
0.6,20,"[0.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 4.0, 2.0, 5.0, 5.0, 5.0, 7.0, 3.0, 6.0, 2.0, 4.0, 3.0, 5.0, 2.0, 3.0, 7.0, 3.0, 3.0, 5.0, 3.0, 3.0, 5.0, 5.0, 3.0, 7.0, 6.0, 7.0, 9.0, 8.0, 8.0, 12.0, 17.0, 14.0, 17.0, 19.0, 15.0, 29.0, 40.0, 48.0, 51.0, 75.0, 75.0, 101.0, 80.0, 68.0, 45.0, 37.0, 35.0, 30.0, 23.0, 17.0, 10.0, 14.0, 11.0, 13.0, 10.0, 7.0, 13.0, 6.0, 5.0, 8.0, 3.0, 7.0, 6.0, 4.0, 10.0, 6.0, 3.0, 7.0, 6.0, 6.0, 5.0, 1.0, 3.0, 4.0, 5.0, 2.0, 6.0, 4.0, 3.0, 5.0, 7.0, 4.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 3.0, 5.0, 3.0, 0.0, 2.0, 3.0, 6.0, 2.0, 7.0, 7.0, 4.0, 4.0, 3.0, 4.0, 7.0, 9.0, 3.0, 7.0, 6.0, 8.0, 6.0, 5.0, 2.0, 6.0, 9.0, 3.0, 8.0, 4.0, 10.0, 8.0, 15.0, 10.0, 11.0, 22.0, 21.0, 25.0, 22.0, 31.0, 51.0, 55.0, 63.0, 105.0, 94.0, 72.0, 51.0, 51.0, 45.0, 36.0, 14.0, 22.0, 19.0, 19.0, 12.0, 12.0, 12.0, 10.0, 11.0, 3.0, 8.0, 8.0, 4.0, 8.0, 4.0, 6.0, 7.0, 2.0, 6.0, 3.0, 7.0, 3.0, 3.0, 1.0, 6.0, 8.0, 6.0, 3.0, 9.0, 3.0, 3.0, 5.0, 4.0, 0.0, 3.0, 4.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0]"
0.6,60,"[1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 3.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 6.0, 3.0, 6.0, 5.0, 10.0, 7.0, 3.0, 17.0, 10.0, 15.0, 27.0, 25.0, 32.0, 37.0, 45.0, 57.0, 80.0, 104.0, 142.0, 166.0, 209.0, 248.0, 363.0, 614.0, 623.0, 555.0, 524.0, 654.0, 970.0, 1212.0, 711.0, 530.0, 412.0, 348.0, 258.0, 237.0, 205.0, 187.0, 133.0, 119.0, 94.0, 106.0, 90.0, 75.0, 66.0, 42.0, 39.0, 39.0, 49.0, 30.0, 29.0, 28.0, 19.0, 21.0, 18.0, 15.0, 18.0, 9.0, 10.0, 14.0, 3.0, 8.0, 8.0, 6.0, 4.0, 4.0, 5.0, 5.0, 2.0, 2.0, 5.0, 2.0, 0.0, 1.0, 1.0, 3.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 7.0, 5.0, 4.0, 4.0, 5.0, 5.0, 10.0, 7.0, 14.0, 17.0, 18.0, 30.0, 33.0, 48.0, 50.0, 72.0, 84.0, 106.0, 152.0, 190.0, 236.0, 302.0, 416.0, 558.0, 582.0, 508.0, 545.0, 689.0, 904.0, 992.0, 679.0, 564.0, 433.0, 386.0, 341.0, 264.0, 216.0, 180.0, 175.0, 130.0, 108.0, 94.0, 94.0, 66.0, 69.0, 57.0, 53.0, 38.0, 34.0, 32.0, 31.0, 18.0, 28.0, 12.0, 18.0, 12.0, 10.0, 16.0, 4.0, 2.0, 11.0, 5.0, 8.0, 0.0, 1.0, 4.0, 2.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.6,100,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 3.0, 1.0, 4.0, 5.0, 10.0, 9.0, 7.0, 15.0, 15.0, 27.0, 21.0, 35.0, 37.0, 57.0, 68.0, 117.0, 196.0, 289.0, 485.0, 794.0, 1649.0, 4387.0, 4143.0, 10377.0, 2852.0, 1308.0, 730.0, 481.0, 363.0, 274.0, 268.0, 182.0, 144.0, 125.0, 101.0, 80.0, 71.0, 58.0, 41.0, 37.0, 22.0, 22.0, 8.0, 18.0, 9.0, 6.0, 6.0, 8.0, 4.0, 2.0, 2.0, 4.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 6.0, 9.0, 2.0, 12.0, 21.0, 23.0, 16.0, 29.0, 28.0, 33.0, 47.0, 65.0, 72.0, 98.0, 183.0, 278.0, 422.0, 710.0, 1745.0, 3852.0, 4661.0, 11055.0, 2483.0, 1219.0, 732.0, 487.0, 358.0, 249.0, 210.0, 146.0, 138.0, 99.0, 83.0, 55.0, 52.0, 37.0, 40.0, 32.0, 27.0, 31.0, 24.0, 23.0, 16.0, 6.0, 16.0, 8.0, 9.0, 2.0, 8.0, 3.0, 5.0, 2.0, 4.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
0.6,140,"[2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 1.0, 1.0, 0.0, 2.0, 3.0, 6.0, 4.0, 3.0, 4.0, 5.0, 3.0, 7.0, 7.0, 16.0, 10.0, 17.0, 17.0, 20.0, 22.0, 42.0, 44.0, 56.0, 59.0, 80.0, 93.0, 128.0, 152.0, 219.0, 357.0, 593.0, 924.0, 1904.0, 15648.0, 29293.0, 4240.0, 1366.0, 891.0, 468.0, 373.0, 270.0, 224.0, 179.0, 150.0, 121.0, 104.0, 100.0, 88.0, 55.0, 59.0, 54.0, 41.0, 31.0, 33.0, 30.0, 27.0, 26.0, 22.0, 20.0, 15.0, 10.0, 9.0, 9.0, 7.0, 4.0, 7.0, 1.0, 2.0, 3.0, 1.0, 2.0, 2.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 2.0, 1.0, 2.0, 3.0, 0.0, 3.0, 3.0, 4.0, 5.0, 7.0, 7.0, 12.0, 13.0, 13.0, 18.0, 27.0, 25.0, 35.0, 43.0, 55.0, 57.0, 74.0, 105.0, 125.0, 202.0, 280.0, 450.0, 698.0, 1119.0, 2448.0, 14232.0, 27961.0, 5421.0, 1420.0, 1007.0, 574.0, 432.0, 336.0, 277.0, 223.0, 221.0, 138.0, 114.0, 106.0, 73.0, 62.0, 56.0, 52.0, 37.0, 37.0, 33.0, 27.0, 6.0, 13.0, 15.0, 13.0, 9.0, 12.0, 9.0, 5.0, 6.0, 4.0, 3.0, 1.0, 0.0, 2.0, 4.0, 6.0, 0.0, 1.0, 3.0, 3.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.6,180,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 5.0, 0.0, 1.0, 0.0, 2.0, 1.0, 4.0, 5.0, 10.0, 4.0, 4.0, 9.0, 9.0, 13.0, 14.0, 16.0, 18.0, 20.0, 27.0, 31.0, 43.0, 52.0, 60.0, 68.0, 86.0, 113.0, 153.0, 219.0, 312.0, 525.0, 839.0, 1521.0, 12070.0, 67940.0, 7395.0, 2109.0, 850.0, 543.0, 361.0, 303.0, 236.0, 171.0, 128.0, 116.0, 105.0, 75.0, 70.0, 66.0, 66.0, 55.0, 42.0, 33.0, 29.0, 31.0, 27.0, 22.0, 31.0, 22.0, 16.0, 17.0, 14.0, 9.0, 11.0, 7.0, 11.0, 6.0, 3.0, 4.0, 0.0, 2.0, 1.0, 3.0, 0.0, 4.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 3.0, 2.0, 0.0, 2.0, 4.0, 3.0, 7.0, 8.0, 10.0, 7.0, 9.0, 18.0, 7.0, 21.0, 25.0, 24.0, 32.0, 25.0, 59.0, 55.0, 68.0, 98.0, 122.0, 197.0, 219.0, 330.0, 608.0, 824.0, 1624.0, 9806.0, 69292.0, 8362.0, 1807.0, 972.0, 491.0, 357.0, 265.0, 233.0, 174.0, 137.0, 117.0, 85.0, 89.0, 59.0, 53.0, 57.0, 42.0, 36.0, 48.0, 34.0, 31.0, 42.0, 21.0, 14.0, 17.0, 20.0, 23.0, 20.0, 14.0, 7.0, 13.0, 9.0, 1.0, 4.0, 6.0, 1.0, 3.0, 2.0, 0.0, 0.0, 4.0, 2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]"
0.6,220,"[0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 3.0, 1.0, 0.0, 4.0, 5.0, 8.0, 2.0, 3.0, 5.0, 4.0, 8.0, 11.0, 13.0, 11.0, 25.0, 18.0, 22.0, 26.0, 22.0, 33.0, 41.0, 50.0, 59.0, 86.0, 88.0, 100.0, 136.0, 214.0, 244.0, 393.0, 594.0, 960.0, 1484.0, 2542.0, 17557.0, 98814.0, 12100.0, 3760.0, 1666.0, 864.0, 554.0, 445.0, 356.0, 318.0, 270.0, 224.0, 187.0, 150.0, 119.0, 94.0, 73.0, 83.0, 50.0, 37.0, 34.0, 21.0, 27.0, 17.0, 22.0, 22.0, 17.0, 12.0, 13.0, 8.0, 2.0, 7.0, 7.0, 2.0, 0.0, 9.0, 9.0, 4.0, 3.0, 1.0, 6.0, 1.0, 1.0, 3.0, 3.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 2.0, 0.0, 1.0, 3.0, 1.0, 3.0, 2.0, 5.0, 2.0, 6.0, 4.0, 6.0, 12.0, 16.0, 17.0, 21.0, 19.0, 18.0, 25.0, 32.0, 38.0, 43.0, 54.0, 74.0, 98.0, 112.0, 138.0, 194.0, 249.0, 357.0, 531.0, 813.0, 1309.0, 2325.0, 16183.0, 103894.0, 10797.0, 2883.0, 1159.0, 744.0, 543.0, 425.0, 328.0, 282.0, 219.0, 185.0, 162.0, 113.0, 110.0, 96.0, 86.0, 64.0, 63.0, 46.0, 32.0, 41.0, 23.0, 31.0, 28.0, 15.0, 13.0, 15.0, 9.0, 15.0, 11.0, 5.0, 8.0, 5.0, 3.0, 4.0, 5.0, 1.0, 2.0, 3.0, 2.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0]"
